ID,COUNTRY,CURRENCY,CODE,NUMBER,REGION
233,Venezuala,Bolivar Fuerte,VEF,937,South America
234,Vietnam,Dong,VND,704,Asia
235,Virgin Islands (British),U.S. Dollar,USD,840,Americas?
236,Virgin Islands (U.S.),U.S. Dollar,USD,840,Americas?
237,Wallis and Futuna,CFP Franc,XPF,953,APAC
238,Western Sahara,Moroccan Dirham,MAD,504,Africa
239,Yemen,Yemeni Rial,YER,886,Asia
240,Zambia,Zambian Kwacha,ZMK,894,Africa
241,Zimbabwe,Zimbabwe Dollar,ZWR,935,Africa
241,Zimbabwe,Zimbabwe Dollar,ZWR,935,Africa
